0.000000, -0.004153	 -0.008279, -0.012378	 -0.016440, -0.020475
-0.286236, -0.288225	 -0.290175, -0.308334	 -0.309033, -0.309628
-0.310183, -0.310550	 -0.310923, -0.311246	 -0.327550, -0.325386
-0.323116, -0.319896	 -0.316584, -0.313256	 -0.309151, -0.315403
-0.309915, -0.304338	 -0.298770, -0.293225	 -0.287929, -0.282659
-0.276845, -0.274086	 -0.271363, -0.268667	 -0.265995, -0.264282
-0.262592, -0.255046	 -0.257135, -0.259228	 -0.261323, -0.264147
-0.266977, -0.269803	 -0.270034, -0.272400	 -0.274759, -0.276634
-0.278497, -0.280350	 -0.281606, -0.284698	 -0.285350, -0.286092
-0.286655, -0.287207	 -0.287748, -0.288363	 -0.293417, -0.293793
-0.293982, -0.294155	 -0.294312, -0.294073	 -0.300323, -0.299345
-0.298346, -0.297330	 -0.296301, -0.295040	 -0.300641, -0.298118
-0.295282, -0.292446	 -0.289615, -0.286518	 -0.283434, -0.282443
-0.278222, -0.274030	 -0.269862, -0.265632	 -0.261454, -0.257309
-0.247468, -0.244200	 -0.240976, -0.238084	 -0.235229, -0.232407
-0.229875, -0.217985	 -0.216709, -0.215725	 -0.214766, -0.213835
-0.212948, -0.212470	 -0.202865, -0.202985	 -0.203284, -0.203619
-0.203971, -0.204460	 -0.204983, -0.198758	 -0.199404, -0.200051
-0.200707, -0.201251	 -0.201801, -0.202358	 -0.198513, -0.198960
-0.199425, -0.199898	 -0.200281, -0.200671	 -0.201068, -0.197510
-0.197455, -0.197437	 -0.197148, -0.196857	 -0.196577, -0.196160
-0.191123, -0.191011	 -0.190864, -0.191136	 -0.191420, -0.191717
-0.192321, -0.187633	 -0.188555, -0.189807	 -0.191064, -0.192319
-0.193564, -0.194810	 -0.191573, -0.192746	 -0.193950, -0.195157
-0.196447, -0.197728	 -0.199012, -0.195983	 -0.199064, -0.202146
-0.205227, -0.208748	 -0.212265, -0.215778	 -0.216020, -0.220910
-0.225798, -0.230619	 -0.235423, -0.240208	 -0.245009, -0.250284
-0.254254, -0.257943	 -0.261613, -0.265261	 -0.268749, -0.275304
-0.278732, -0.281912	 -0.285055, -0.288171	 -0.290863, -0.293551
-0.302351, -0.304536	 -0.306666, -0.308762	 -0.311033, -0.313264
-0.315460, -0.329512	 -0.330536, -0.331488	 -0.331501, -0.331521
-0.331497, -0.330608	 -0.346176, -0.343268	 -0.339610, -0.335873
-0.332116, -0.327819	 -0.336341, -0.331041	 -0.325523, -0.320012
-0.314507, -0.308487	 -0.302468, -0.300288	 -0.294252, -0.288244
-0.282270, -0.276226	 -0.270410, -0.264619	 -0.254958, -0.249940
-0.244945, -0.239982	 -0.235131, -0.230318	 -0.225545, -0.213548
-0.209955, -0.206396	 -0.203278, -0.200192	 -0.197140, -0.194486
-0.183933, -0.182152	 -0.180842, -0.179545	 -0.178270, -0.177340
-0.176415, -0.169628	 -0.169792, -0.169984	 -0.170185, -0.170647
-0.171113, -0.171584	 -0.170530, -0.171584	 -0.172636, -0.173882
-0.175124, -0.176360	 -0.177653, -0.177156	 -0.176660, -0.175668
-0.174684, -0.173707	 -0.172527, -0.169740	 -0.168997, -0.168585
-0.168185, -0.167795	 -0.167786, -0.167787	 -0.163960, -0.165464
-0.167000, -0.168538	 -0.170070, -0.172158	 -0.174247, -0.173075
-0.176228, -0.179380	 -0.182522, -0.185819	 -0.189104, -0.192376
-0.195595, -0.198631	 -0.201649, -0.204659	 -0.207653, -0.210628
-0.213495, -0.218021	 -0.221262, -0.224415	 -0.227553, -0.230674
-0.233923, -0.237153	 -0.242846, -0.246918	 -0.250952, -0.254959
-0.258941, -0.263334	 -0.267697, -0.276144	 -0.280906, -0.285637
-0.290335, -0.295302	 -0.300223, -0.305110	 -0.315190, -0.319031
-0.322835, -0.326246	 -0.329643, -0.333009	 -0.336289, -0.345740
-0.348937, -0.352072	 -0.355254, -0.358407	 -0.361529, -0.364938
-0.375832, -0.379353	 -0.382845, -0.386298	 -0.389714, -0.392798
